image_id,question,answer
71m+J7fdPxL,Is the hanger made to prevent slippage?,Yes
71m+J7fdPxL,What material is the hanger padded with?,Foam
71j+0adQtoL,What animal is on the phone case?,Squirrel
71j+0adQtoL,Is the case hard or soft?,Hard
81VvOxBzTQL,What is the primary design element?,Water
81VvOxBzTQL,Is the case design three-dimensional?,Yes
81KwZ1K3vnL,What is the predominant color in the sky of the phone case?,Blue
81KwZ1K3vnL,Does the phone case feature trees?,Yes
810iH82SMKL,What shape is this mat?,Rectangle
810iH82SMKL,What is the main purpose of this AmazonBasics item?,Bathroom
71WVdObsOLL,What type of case is this?,Hard
71WVdObsOLL,What phone is this case designed for?,Stylus
71JogmDzrHL,What is the main color of this phone case?,Black
71JogmDzrHL,What shape are the figures on the case?,Stars
71JogmDzrHL,Is this a hard or soft case?,Soft
71OdI+uM9OL,What is the main color of the floral design?,White
71OdI+uM9OL,Is this case designed for a Samsung phone?,Yes
71OdI+uM9OL,What is the background color of the phone case?,Blue
81Ya6yqWK7L,What is the main color on the bottom left?,Red
81Ya6yqWK7L,Is the case design 2D or 3D?,3D
81Ya6yqWK7L,What phone model is this case for?,Motorola
71GF5Cojq9L,What is the predominant color of the phone case?,Multicolor
71GF5Cojq9L,Is the depicted item a protective accessory?,Yes
71GF5Cojq9L,What phone is this cover designed for?,Honor
616BGmMVE3L,What color are the window coverings?,White
616BGmMVE3L,How many panels are visible?,Two
616BGmMVE3L,Are these window coverings drapes?,Yes
715LX+Gx2-L,What color are the dividers?,Orange
715LX+Gx2-L,How many dividers are in the pack?,Hundred
81JUIl-ZyYL,What color is the wallet?,Black
81JUIl-ZyYL,Is the wallet open or closed?,Closed
81JUIl-ZyYL,What is the brand name on the wallet?,Eono
81KJ3fj54+L,What shape is the opening?,Round
81KJ3fj54+L,How many legs does this ottoman have?,Three
61ziarMyIxL,What color is the adhesive inside?,Blue
61ziarMyIxL,How many rollers are visible?,Two
51nJ3pLN0PL,What is the main design element?,Butterfly
51nJ3pLN0PL,What phone is this case compatible with?,iPhone
51nJ3pLN0PL,What is the color scheme of the case?,Pink
61zIfmRFO+L,What is the main color of the lower portion of the phone case?,Teal
61zIfmRFO+L,Is the phone case designed to protect the camera?,Yes
81kZTjuJGVL,What color is the soldering iron's handle?,Black
81kZTjuJGVL,Is the power switch in the on or off position?,On
81kZTjuJGVL,What is the shape of the temperature control knob?,Circular
71k5iUPFZkL,What type of footwear is shown?,Sandal
71k5iUPFZkL,What is the color of the sandal?,Beige
71k5iUPFZkL,Is the heel thick or thin?,Thick
81TB+4AeEKL,What is the primary material of this phone case?,Hard
81TB+4AeEKL,What phone is this case designed for?,LG
81TB+4AeEKL,Is the surface of the case flat or textured?,Textured
51-GyrXggbL,How many different supplements are pictured?,Two
51-GyrXggbL,What is the color of the label on the probiotic bottle?,Green
81taDmc+UwL,What season is depicted on the phone case?,Autumn
81taDmc+UwL,What is the depicted item?,Case
71vh5KgMAaL,What color is the charging cable?,Red
71vh5KgMAaL,What kind of adapter is this?,Charging
71SczZmlJxL,What is the main color of the phone case?,Yellow
71SczZmlJxL,Is this a hard or soft case?,Hard
71SczZmlJxL,Is the design on the cover flat or 3D?,3D
81Xh+yZvD1L,What color is the table top?,Brown
81Xh+yZvD1L,How many legs does the table have?,Three
71i8SuSVKGL,What brand is displayed?,Wag
71i8SuSVKGL,What is the main protein source?,Chicken
71i8SuSVKGL,Is this product for adult dogs?,No
81APaH9FMnL,What celestial scene is depicted on the case?,Sky
81APaH9FMnL,What is the predominant color of the upper portion of the phone case?,Blue
81fQIg3puaL,What is the primary color of the rucksack?,Blue
81fQIg3puaL,Is this bag suitable for trekking?,Yes
61Xh92ENjYL,What color are the canvas panels?,White
61Xh92ENjYL,How many canvas panels are visible?,Five
61Xh92ENjYL,What shape are the panels?,Rectangular
61oZ5E9ZnjL,How many corner protectors are displayed?,Four
61oZ5E9ZnjL,What shape are these safety products?,L
61oZ5E9ZnjL,What is the color of the corner protectors?,White
71RO6m5tkTL,What is the background color of the flower design?,Blue
71RO6m5tkTL,How many flowers are clearly visible?,Three
71RO6m5tkTL,What phone is this case designed for?,Vivo
71LPlPhPJgL,What object is printed on the case?,Booth
71LPlPhPJgL,Is the phone case hard or soft?,Hard
71LPlPhPJgL,What phone model is this case for?,V20
61cwM8SBriL,What letter is displayed?,Z
61cwM8SBriL,What is the main color?,Blue
81o5oM7j6uL,What color are the stones?,Green
81o5oM7j6uL,What shape are the earrings?,Round
81o5oM7j6uL,"Besides emerald, what other stone is used?",Cubic
81BsB+vpnpL,What is the main color of the phone case?,Gray
81BsB+vpnpL,What kind of pattern does the case have?,Squares
91hgdhyiUXL,How many blades does the razor have?,Three
91hgdhyiUXL,What is the brand of the razor?,Solimo
91hgdhyiUXL,What is the color of the cartridge?,Blue
71w+9SNWhbL,What is the primary color of the shoes?,Black
71w+9SNWhbL,Are these shoes lace-up?,Yes
71w+9SNWhbL,What type of material are the shoes made of?,Suede
71QIli6pbqL,What is the depicted subject doing?,Kissing
71QIli6pbqL,What shape is the moon?,Crescent
71h6rhvKH9L,How many bulbs are in the picture?,Two
71h6rhvKH9L,What is the light color of these bulbs?,White
71h6rhvKH9L,What brand are these lightbulbs?,Amazonbasics
71az+-yZfUL,What phrase is written on the back?,Girlboss
71az+-yZfUL,Is this a hard or soft case?,Hard
71az+-yZfUL,What is the material of the case?,Wood
71oWrFW+icL,How many levels does this cat tree have?,Six
71oWrFW+icL,What color is the cat tree?,Gray
71oWrFW+icL,"Besides platforms, what else is available for the cat?",Condos
71T+bO0FkKL,What color is the recliner?,Blue
71T+bO0FkKL,Is this chair designed to recline?,Yes
71Z27DxyXyL,What animal is featured on the back?,Kitten
71Z27DxyXyL,What is covering the kitten's head?,Blanket
61gPM3z66GL,What letter is printed on the phone case?,J
61gPM3z66GL,What is the primary color of the phone case?,Black
71fZiwuLhhL,What is the primary color of the phone cover?,Pink
71fZiwuLhhL,Is the phone cover sparkly?,Yes
71hpmLy96+L,What is the main color of the phone case?,Blue
71hpmLy96+L,Is the cover hard or soft?,Hard
71hpmLy96+L,What type of printing is on the case?,3D
715Q4uySlWL,What is the color of the shoes?,Black
715Q4uySlWL,What type of closure do these shoes have?,Lace-up
715Q4uySlWL,What is the toe style of the shoe?,Round
81Zwmg4NljL,What shape is this food service supply?,Rectangular
81Zwmg4NljL,What is the color of the base?,Black
41Yy8HxpOLL,What color is the extension lead?,White
41Yy8HxpOLL,How many sockets does the extension have?,Four
71btFP8P7XL,What is the main color of the circles?,Green
71btFP8P7XL,What type of product is this?,Case
71btFP8P7XL,Is this a hard or soft case?,Hard
71wL64bIfOL,What number is displayed on the phone case?,Ten
71wL64bIfOL,What brand is the phone case?,Solimo
61oyQU1sPLL,What is the main color of the board?,White
61oyQU1sPLL,How many corners does the board have?,Four
61oyQU1sPLL,What office supply is attached to the bottom?,Marker
61-eEbCIXBL,What is the weight of the trail mix?,16oz
61-eEbCIXBL,What is the brand name?,365
61-eEbCIXBL,What kind of nuts are in the mix?,Macadamia
81Y5IVm8GmL,What phrase is printed on the back of the phone case?,NoHate
81Y5IVm8GmL,What type of phone is this case designed for?,Samsung
71peNqYMrlL,What is the main color of the phone case?,Black
71peNqYMrlL,What is the design on the back of the phone case?,Skull
91tXgMOPq6L,What is the color of the fitted sheet?,Beige
91tXgMOPq6L,Is the sheet elasticated?,Yes
91tXgMOPq6L,What material is the sheet made from?,Microfibre
71aNVApPGZL,What is the primary color of the shoe?,Red
71aNVApPGZL,Is the toe of the shoe pointed or rounded?,Rounded
71aNVApPGZL,Is this footwear designed for women?,Yes
71X82uOhFiL,What is the background color of the phone case?,Black
71X82uOhFiL,What is the design printed on the back?,Flowers
714Q-IFWMuL,What food item is depicted on this case?,Lollipops
714Q-IFWMuL,What is the primary color of the phone case?,Purple
31xRhZFmvOL,What is the color of the pillowcase?,Blue
31xRhZFmvOL,Is this a bedsheet or a pillowcase?,Pillowcase
815X6V9E63L,What is the primary color on the phone case?,Yellow
815X6V9E63L,Is this case hard or soft?,Hard
815X6V9E63L,What phone is this case designed for?,Lenovo
81vo88cCcTL,What is the main color of the case?,Brown
81vo88cCcTL,Is the case designed for a Samsung phone?,Yes
81vo88cCcTL,What is the pattern on the back?,Wood
71lKZc4SZYL,What celestial body is featured on the case?,Moon
71lKZc4SZYL,What is the main natural element depicted besides the sky?,Tree
71lKZc4SZYL,Is this case designed for a Samsung phone?,No
713lFJtGLLL,What celestial body is repeated on the case?,Moon
713lFJtGLLL,What is the main color of the phone case?,Black
713lFJtGLLL,Is there a shooting star on the case?,Yes
71Xcwsb7vNL,How many shades of blue are visible?,Seven
71Xcwsb7vNL,What is the total number of markers shown?,Forty
71Xcwsb7vNL,Are the caps the same color as the marker ink?,Yes
71KwV3JHT9L,What is the primary color of the boot?,Black
71KwV3JHT9L,What shape is the toe of the boot?,Rounded
71KwV3JHT9L,What material is the sole made of?,Wood
71w4ViqptCL,What animal is featured on the case?,Cat
71w4ViqptCL,What is the main color of the phone case?,Pink
71N27IBoUNL,What is the primary color of the necklace?,Black
71N27IBoUNL,What shape does the necklace form?,Circle
71N27IBoUNL,Is the necklace shiny?,Yes
91MCy5GYp8L,What is the closure style?,Lace-up
91MCy5GYp8L,What color are the shoes?,Brown
91MCy5GYp8L,What is the material of the shoe?,Leather
81Ev54-ydWL,What is the closure style of this shoe?,Lace-up
81Ev54-ydWL,What is the color of the shoe?,Brown
61PCBnfATbL,What object is featured on the case?,Car
61PCBnfATbL,What two colors are on the back?,Pink/Green
81SBXPad8UL,What word is spelled out on the phone case?,Like
81SBXPad8UL,What is the brand of this phone case?,Solimo
81SBXPad8UL,Is the phone case hard or soft?,Hard
61UHsyITdKL,What color is the home item?,White
61UHsyITdKL,Is the item rectangular?,Yes
71QBY2nzpuL,What is the main color of the water?,Blue
71QBY2nzpuL,What is the scene depicted on the phone case?,Seascape
71QBY2nzpuL,Is the case hard or soft?,Hard
81nJiOGTy4L,What is the main color of the phone case?,Gray
81nJiOGTy4L,Is the case design 3D?,Yes
71LL7bMZAiL,What color is the top of the Solimo cutter?,Green
71LL7bMZAiL,What is the purpose of this kitchen tool?,Slicing
71MyT7qXR5L,What animal is featured on the case?,Panda
71MyT7qXR5L,Is the case hard or soft?,Hard
81KZp1brWYL,What color are the legs?,Brass
81KZp1brWYL,What is the sofa's primary material?,Velvet
81KZp1brWYL,Is the cushion tufted?,Yes
71Zwh-bem-L,What brand is the audio cable?,Amazonbasics
71Zwh-bem-L,What color is the cable?,Black
71qPZzcmJ1L,What animal is featured on the phone case?,Puppy
71qPZzcmJ1L,Is the phone case hard or soft?,Hard
71BPzYzoiHL,What number is displayed on the phone case?,Two
71BPzYzoiHL,What is the main color of the phone case?,Orange
61zLDnUg3DL,What letter is featured on this case?,V
61zLDnUg3DL,What is the primary color of the phone case?,Black
A1n9ZOzRyQL,What is the primary color of the chair?,Grey
A1n9ZOzRyQL,How many legs does the chair have?,Four
A1n9ZOzRyQL,Is there a pillow on the chair?,Yes
61Y1eK+bANL,What animal is on the phone case?,Cat
61Y1eK+bANL,What color is the bow on the cartoon cat?,Pink
61Y1eK+bANL,Is the phone case designed for men?,No
61WTOkHRcZL,What kind of furniture is this?,Chair
61WTOkHRcZL,What is the visible color of the chair?,Grey
61WTOkHRcZL,How many legs does the chair have?,Four
81DTZr-tDkL,What shape is featured on the case?,Heart
81DTZr-tDkL,What is the dominant color of the case?,Multicolor
81sOaAo4RQL,What color accents the headphones?,Green
81sOaAo4RQL,What is the product's type?,Headphones
71uVW6XpyOL,What kind of animal is featured on the back of this phone case?,Bird
71uVW6XpyOL,Is the case hard or soft?,Hard
71uVW6XpyOL,What brand is this phone case?,Solimo
916ToyB9FkL,What color are the geometric shapes?,Teal
916ToyB9FkL,What is the color of the lines?,Gold
916ToyB9FkL,What is holding the art?,Hanger
81xr8RuMOBL,What animal is featured on the case?,Kitty
81xr8RuMOBL,What is the primary color of the phone case?,Pink
812WESOMjUL,What is the main color of the circle design?,Orange
812WESOMjUL,Is this a hard or soft case?,Hard
812WESOMjUL,What is the pattern on the phone cover?,Circle
71vHLSEfjuL,What shape is the majority of the balloons?,Heart
71vHLSEfjuL,What is the background color?,Black
71vHLSEfjuL,What is the depicted relationship?,Romantic
71FvebBwsHL,What shape is this clock?,Round
71FvebBwsHL,What is the frame color?,Black
71FvebBwsHL,What time does the clock show?,Ten
71+Z5-oyTOL,What kind of salad is this?,Quinoa
71+Z5-oyTOL,What color is the label?,Red
81oPe-NJO6L,What is the primary color of the phone case?,Green
81oPe-NJO6L,What kind of pattern is printed on the back?,Floral
81yzQUDMs5L,What color is the cashmere scarf?,Black
81yzQUDMs5L,Is this scarf designed for warm or cold weather?,Cold
81k8JaYtQUL,What color is the window shade?,Grey
81k8JaYtQUL,Is the shade blocking light?,Yes
81k8JaYtQUL,What is the style of the shade?,Pleated
81cVhl8HXmL,What is the primary material of the bed's upholstery?,Polyester
81cVhl8HXmL,What shape is the top of the headboard?,Scalloped
81cVhl8HXmL,What kind of trim is visible on the headboard?,Nailhead
81cKm0WAVPL,What is the heel's shape?,Block
81cKm0WAVPL,What is the sandal's primary color?,Silver
81cKm0WAVPL,Are there studs on the straps?,Yes
71I-mUxf15L,What object is dangling from the phone case?,Cup
71I-mUxf15L,What is the primary color of the Eiffel Tower?,White
516z2yo6GNL,What color is the pillow?,White
516z2yo6GNL,How many indentations are on the square pillow?,Four
71vNxbjnpjL,What is the main color of the sky in the image?,Blue
71vNxbjnpjL,What brand is the cover for?,Lenovo
71vNxbjnpjL,Is the case hard or soft?,Hard
81ol5G12OuL,What is the main color of the trees in the image?,Green
81ol5G12OuL,What word is printed at the bottom of the phone case?,Alone
81ol5G12OuL,What is depicted in the background of this case?,Trees
81-D1xgUqGL,What color is the curtain?,Grey
81-D1xgUqGL,How many eyelets are on the curtain?,Eight
91kIKp-N-fS,What is the primary material of the globe?,Glass
91kIKp-N-fS,What color is the metal finish?,Black
91kIKp-N-fS,Is the top designed for hanging?,Yes
91HqNqgUoCL,What shape is primarily featured in the top tile?,Triangle
91HqNqgUoCL,How many tiles are displayed?,Three
91HqNqgUoCL,What color are the tiles?,Blue
71jgFuJdjQL,What phrase is written on the phone case?,Supergirl
71jgFuJdjQL,What is the primary color of the flower near the camera?,Pink
71jgFuJdjQL,Is this a hard or soft case?,Hard
614ZNvIHTtL,What object is featured at the bottom of the phone case?,Headphones
614ZNvIHTtL,What is the primary color on the left side of the case?,Pink
719xKUO5XDL,What is the depicted relationship between the figures?,Couple
719xKUO5XDL,What is the primary color of the case?,Black
719xKUO5XDL,Is the phone case flexible?,No
71ll6wbV7yL,What shape is the toe?,Round
71ll6wbV7yL,What is the color of the loafers?,Black
71ll6wbV7yL,What kind of closure do these shoes have?,Slip-on
81f86HrJIwL,What is the primary color of the folded textile?,Beige
81f86HrJIwL,What type of bedding is this?,Sheet
71Eal7ed8dL,What material are these Arthur Harvey shoes made of?,Leather
71Eal7ed8dL,What is the closure style of the black shoe?,Lace-up
813efYYUE4L,What color is the laundry hamper?,Beige
813efYYUE4L,How many wheels does the hamper have?,Four
813efYYUE4L,Is there clothing inside the hamper?,Yes
71K2+Ch-SlL,What is the background color of the phone case?,Pink
71K2+Ch-SlL,What kind of figure is printed on the case?,Monkey
71cAphvHi8L,What kind of cheese is in the bag?,Mozzarella
71cAphvHi8L,Is the cheese organic?,Yes
71cAphvHi8L,What is the color of the cheese?,Yellow
91z6oH5ZRZL,What fruit is featured on the cover?,Pineapple
91z6oH5ZRZL,What year is marked on the diary?,2021
91z6oH5ZRZL,What color is the elastic band?,Black
61PHhyVeHuL,What kind of shoe is this?,Loafer
61PHhyVeHuL,What color are the loafers?,Black
612Tj+d+c2L,What material are the shoes made of?,Canvas
612Tj+d+c2L,What is the color of the trainer?,White
81YD9G8zzgL,What color is the camera case?,Black
81YD9G8zzgL,Is there a handle on the case?,Yes
81YD9G8zzgL,What type of item is this?,Case
81FoJpSdYOL,What is the primary color of these boxes?,Brown
81FoJpSdYOL,Are the boxes assembled or unassembled?,Unassembled
81FoJpSdYOL,Are these boxes suitable for outdoor storage?,No
71a5xUl89xL,What is the main color of the flowers?,Pink
71a5xUl89xL,Is this a hard or soft case?,Hard
71a5xUl89xL,What phone model is this case designed for?,V17
717KGJYVqAL,What shape is repeated on this phone case?,Heart
717KGJYVqAL,Is this a hard or soft case?,Hard
717KGJYVqAL,What brand is this phone case?,Solimo
91VKLpQaMRL,What pattern is on the duvet?,Checks
91VKLpQaMRL,How many pillowcases are visible?,Two
91VKLpQaMRL,What is the main color of the set?,Gray
61kBV8gsaUL,What is the sandal's primary color?,Black
61kBV8gsaUL,How many straps are visible?,Two
61kBV8gsaUL,Is there a buckle present?,Yes
71nDuvSc3cL,What is the main color of the phone case?,Pink
71nDuvSc3cL,How many camera lens cutouts are visible?,Two
71nDuvSc3cL,What shape is featured in the design?,Heart
81ymV-aKZYL,What is the predominant color near the top?,Blue
81ymV-aKZYL,Is this case designed for a Samsung phone?,Yes
71gnoA4o5dL,How many reams are stacked?,Four
71gnoA4o5dL,What is the paper size?,A4
71gnoA4o5dL,What is the brand?,AmazonBasics
6150l66LUpL,What is the main theme of the design on the phone case?,Butterflies
6150l66LUpL,What phone model is this case designed for?,Redmi
6150l66LUpL,What is the primary color of the phone case's background?,Black
71LmA5XLJCL,What is the main color of the phone case?,Pink
71LmA5XLJCL,Is this a hard or soft case?,Hard
71LmA5XLJCL,What phone is this case designed for?,LG
